"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Brycar","Bryoria_carlottae",0.01,4.59,5.95,7.58,0.99,12.45,13.6,14.39,0.65,-2.95,-0.86,1.92,1.96,11.92,14.54,15.45,1.4,1931.8,3043.75,4033.35,977.5,718.8,947.7,1291.6,219.25,3.96,5.43,7.92,2.2,10.17,14.72,19.54,3.25,142.05,162.5,194.6,19.05,195,414.5,854,272.8,-27.99,-24.91,-18.69,3.61,28.87,30.15,30.84,0.86,383.15,435.5,448.48,31.5,0,0,0,0,76,77,80,2.5,74,75,79.45,3.08,11.69,13.04,13.96,0.73
"Brycer","Bryoria_cervinula",0.01,-4.56,6.1,7.82,1.4,12.06,13.2,14.4,1.2,-19.74,-0.1,2.3,2,11.82,13.15,32.16,2.1,463,2925,4243.8,955,268.2,913,1225.2,285,3.66,5.5,8.5,2,10.06,14.9,50.22,4.25,98.2,163,200.8,24,118,329.5,653.6,196,-49.64,-23,-17.3,4.1,28.46,29.9,31.16,1.4,248,427,462,40,0,0,85.4,0,68.8,78,80.2,3.5,72.6,77,80.2,4.5,11.33,12.61,13.9,1.32
"Bryfre","Bryoria_fremontii",0.08,-0.02,5.47,11.63,5.16,11.48,16.39,21.43,4.58,-11.55,-4.2,4.65,5.89,13.79,21.02,24.08,3.56,410,789.95,2068.11,443.69,74.45,234.25,514.12,185.19,6.53,18.35,46.24,12.6,24.91,70.88,247.26,73.75,54.45,112,231.75,60,20.36,231,777.25,312,-44.55,-31.95,-13.98,11.45,29.22,35.47,40.89,5.34,394.02,682,1060.73,259.05,0.45,322.5,692.77,307,50.11,60,72,8,28,45,67.55,16,10.14,15.24,20.55,4.82
"Bryfri","Bryoria_friabilis",0.01,-1.8,5.5,11.58,5.7,12.25,16.4,19.7,5.23,-18.6,-1.7,4.78,8.83,13.4,15.8,32.8,6.7,569,1406,3628.5,827.25,163,318,1246,245.5,4.2,12.1,25.25,7.75,10.55,50.9,121.37,56.35,92,143,226.5,53.92,25.5,335,829.5,348.5,-43,-24.6,-14.4,14.77,28.3,34.8,39.92,7.75,328,644,997,422.5,0,194,529,342.33,58,68,77.5,11,39,58,79,22,11.45,15.17,19.24,5.1
"Bryfur","Bryoria_furcellata",0.03,-2.26,4.85,11.4,4.35,14.68,18.47,21.61,2.8,-22.5,-10.55,1.88,8.4,18.51,29.1,37.14,7.01,498.4,892.75,1364.2,362.2,290.2,459.25,586.53,87,9.84,15,23.05,5.82,29.26,40.1,57.64,8.45,90.2,122.67,179.4,28.1,23.22,215.5,421.7,168.5,-46.64,-37.05,-24.92,8.67,30.89,35.6,38.38,2.25,400.8,642.44,1032.1,137,0,110,323.2,91.09,55,61.25,71,6.5,54.5,62.75,72.27,7.5,14.07,18.02,21.48,3.1
"Bryfus","Bryoria_fuscescens",0.15,-5.4,3.6,9.6,4.7,11.34,15.9,21.48,3.82,-24.69,-7.24,2.16,7.42,14.73,22.7,38.62,7.16,303.7,768.5,2123.8,534.12,154.05,306.5,539.3,204,6.1,15.85,41.51,11.8,22,50.4,115.69,35.42,54.12,107.5,173.3,50,33.13,248.5,652.2,257.9,-48.73,-37.8,-19.5,10.33,27.9,33.96,40.46,4.65,303.35,601.5,919.65,218.42,0,187.88,551.32,261.81,49,60,74,9,26.18,54,74,22.95,9.9,14.96,20.92,4.35
"Brygla","Bryoria_glabra",0.03,-4.31,4.1,8.97,4.35,11.27,14.2,18.79,3.13,-24.01,-4.8,3.12,8.22,12.33,20.5,39.01,7.18,361.7,1030,3780.73,1514,161.9,350.33,1289.2,251.5,3.79,12,30.82,12.75,10.8,42.1,114.37,35.03,59.9,114,186.9,61.17,64.5,342,941.32,441.25,-50.27,-33.9,-17.59,16.83,27.2,31.9,38.25,4.65,326,507,813,217.75,0,132.5,476.45,225.5,53.45,64,79.55,14,33.9,57,78,21,10.03,13.41,17.89,3.09
"Bryimp","Bryoria_implexa",0,-5.85,2.8,8.27,6.48,10.95,14.8,19.6,4.01,-24.62,-7.8,0.86,12.35,12.83,22.6,37.59,10.05,439.3,872,1992.8,571,162.9,350,956.2,181,4.36,13,25.74,9.55,13.3,42.8,95.06,28.55,67,105,174.8,44.5,64.4,265,907.8,238,-47.51,-36.8,-20.61,10.65,26.5,32.7,37.09,5.77,232.2,522,754.5,299.25,0,96,403.9,156,55.8,64,76.4,7.5,38.9,63,81,20.5,9.83,13.68,18.91,4.45
"Brylan","Bryoria_lanestris",0.01,-9,-1.22,5.77,7.15,9.99,13.8,17.51,3.04,-27.47,-15.23,-3.38,16.26,17.22,29,41.6,16.71,231.4,633,1647.67,474.38,139,299.25,556.98,193.69,3.64,11.95,26.34,8.95,20.25,47.6,99.49,35.8,48.85,83,134.15,28,97.95,247.4,770.07,257.25,-52.12,-45.05,-29.37,8.6,26.48,31.32,36.36,4.09,218.98,374,724.65,186,0,104,355.15,133,52,62.2,71,6,31.93,63,72.15,15.15,8.41,12.72,16.88,3.34
"Brynad","Bryoria_nadvornikiana",0.01,-5.76,2.95,7.62,4,12.63,16.76,19.79,2.93,-25.16,-12.8,0.32,6.53,19.04,29.55,39.82,4.7,347.7,1017,1499.45,396.5,215.8,465.5,667.52,74.88,6.37,12.6,19.46,3.89,21.38,36.05,71.53,8.45,83,111.5,167,22.12,79.7,335,535.9,185.78,-47.94,-39.23,-25.77,6.15,28.82,34.32,36.78,3.79,319,583,732.6,164.75,0,69.5,187.65,93,56.68,63,73.65,5.67,55.67,64.56,73.65,6,11.61,16.15,19.41,3.22
"Brypik","Bryoria_capillaris",0,1.25,4.8,9.99,5.4,12.11,15.6,17.59,2,-13.95,-4.4,4.86,11.29,10.75,20.7,28.56,10.15,630.5,1230,3020.3,696.12,170.2,379,499.1,190.5,5.33,11.8,23.27,4.8,26.21,39.3,92.89,31.5,93.2,118,245.4,74,32.3,356,890.2,279.12,-40.23,-30.7,-11.68,17.65,30.3,32.8,37.15,4.1,417.4,534,800.7,182.5,0.2,117,384.9,199,63,69,75.9,6,39.5,64,75.9,17,10.98,14.8,16.87,1.85
"Brypsc","Bryoria_pseudocapillaris",0,10.79,11.03,13.07,0.48,14.21,15.07,15.8,0.88,6.81,7.87,10.33,0.81,4.94,7.27,8.3,2.03,623.05,1716.5,1862.63,529.5,44.55,195,235.6,105.25,11.37,12.25,45.01,5.34,62.81,81.4,568.27,57.6,259.25,267,318.75,20.25,3.1,16,19.32,7.37,-10.69,-9.7,-7.22,1.66,32.06,33.23,34.16,1.1,701.45,751.25,920.45,108.92,204.3,304.5,530.8,109.83,68.3,70.75,74,3.83,68.35,74,78.2,3.92,13.73,14.54,15.35,0.81
"Brypse","Bryoria_pseudofuscescens",0.05,-0.98,5.21,10.91,4.46,11.27,15.69,20.03,4.47,-11.93,-4.4,4.41,5.2,14.08,20.55,25.31,4.93,442.44,916.5,2304.77,789.25,115.7,271.5,591.3,165.06,6.8,15.97,37.73,11.72,20.29,56.65,157.84,54.24,63.67,116.5,214.02,43.5,33,267.96,834.22,264.78,-44.5,-31.65,-15.76,9.45,27.3,34.9,39.4,6.76,337.38,672.75,946.45,298.17,0,266.42,546.55,294.91,53.85,63.25,72.3,8,31,48,71,16.94,9.92,14.51,19.18,4.62
"Brysim","Bryoria_simplicior",0.01,-9.32,-3.5,5.04,6.1,10.08,14.1,16.82,2.9,-28.64,-22.5,-3.88,13.6,19.76,36.07,42.34,14.02,247.2,482,1207.2,343,125.4,272,494.4,155,3.44,11.5,27.12,7.3,25.76,54,105.96,38.5,53.53,88,124.2,27,96.2,196,560.67,162.33,-52.52,-46.8,-32.18,6.12,26.34,31.4,35.44,4.1,207.87,341,674.2,129,1,95,371,88.5,56,63,70.2,4,36.4,66,76,9,8.55,13.3,16.03,2.99
"Bryspi","Bryoria_spiralifera",0,11.02,11.4,13.64,2.3,14.33,15.6,15.88,0.4,7.22,8.2,11.08,2.9,4.74,5.87,8.42,2.4,449.2,1094,1660.6,787,22,100.33,203.8,101,12.86,19.2,53.22,26.2,80.48,140.4,732.86,499.5,255.8,285.33,328,49,1,8,16.6,10,-10.84,-9.2,-7.18,1.9,32.23,34.1,34.38,0.5,723.93,811,967.5,184.5,272.4,356,612.8,290,67.2,69,73.2,2,70.6,75,78.4,3,13.85,15.04,15.49,0.52
"Brysub","Bryoria_subcana",0,2.34,6.05,8.14,2.62,13.41,15.25,16.24,1.75,-10.77,-0.35,1.4,3.65,13.75,15.4,25.63,4.62,1048,1481.5,1699.95,227.75,251.2,365.5,622.6,237,9.23,11.6,12.61,1.7,22.07,45.75,63.82,31.55,104.75,126,168.5,42.75,138,293,359.6,68,-36.76,-25.3,-21.24,5.97,30.74,32.4,36.35,3.62,414.75,557.5,794.6,283.25,0,103,334.35,243.75,59.65,69.5,74.25,5,51,70.5,74.7,10.5,12.76,14.41,15.62,1.39
"Bryten","Bryoria_tenuis",0.02,-11.62,4.27,7.6,10.65,8.02,13.05,15.16,2.98,-31.7,-2.1,2.11,20.6,11.2,14.6,42.88,16.7,164.2,1863,3890.2,2607.5,104.4,582,1426,739.5,-9.7,5.87,12.42,4.9,9.02,20.8,77.48,25.9,62.4,141,189.3,63.5,92.4,304,998.27,342,-51.7,-27.4,-17.64,24.6,23.78,29.5,32.04,3.6,142.4,370,503.87,172.5,0,0,92.4,47,63,76,84.6,11,65.6,77,85,7,6.89,12.35,14.5,3.31
"Brytri","Bryoria_trichodes",0.05,-1.76,4.47,9.03,4.09,12.46,16.27,19.52,4,-19.84,-8.6,3,10.36,12.09,25.3,35.33,11.77,507.88,1046,3181.62,599.62,188.6,455.62,902.54,115,5.07,12.8,23.33,6.68,14.93,37.68,87.9,11.02,83.3,121,200.56,32,69.2,298.5,658.97,213.96,-45.83,-35.09,-16.33,11.7,28.08,33.3,38.3,4.9,337.88,563.5,831.05,202.38,0,76.75,344.75,120.6,55,65,78.54,11.38,46.65,65.06,78.5,12,11.49,15.56,19.17,4.09
"Bulcon","Bulbothrix_confoederata",0,17.1,19.8,22.59,1.4,26.58,27.5,27.92,0.37,7.14,10.7,16.02,2.6,11.94,16.9,19.36,2.43,1142.2,1335,1627.73,223.71,518.6,746,853.36,137,18.02,22.6,25.2,4.5,32.61,37.2,52.54,7.2,227.4,287,329.56,33,0,0,1,1,-19.16,-13.9,-6.14,4.8,38.56,39.69,40.92,1.17,1230.6,1445,1552.08,155.5,78.97,250,407.33,168,59.83,62,71.2,4.67,64,67.33,76.2,5,28.15,29.42,30.99,0.8
"Bulgoe","Bulbothrix_scortella",0.01,15.76,19.4,22.23,1.49,25.95,27.5,28.03,0.68,5.12,10.05,15.39,2.79,12.4,17.54,20.69,2.68,1158.1,1363,1625.17,235.14,500.65,636.5,838.67,198.5,18.08,20.95,25.12,4.04,33.3,43.02,53.61,12.36,206.92,275.42,328.73,46.12,0,0,3.45,1,-21.4,-15.1,-6.33,4.3,38.71,40.1,41.23,1,1240.88,1428.5,1547.7,121.25,82.47,281.5,394.02,121.69,59.13,62,70.45,4,63.28,66.05,74,3.08,27.01,29.37,30.94,1.36
"Bulisi","Bulbothrix_isidiza",0,15.65,19.3,22.05,2.77,25.96,27.45,27.8,0.7,4.94,10.2,15.11,4.42,12.52,17.5,21.21,3.52,1150.7,1291.79,1540.8,113.25,494.27,636,804.9,216.32,19.52,23.1,24.98,2.7,34.23,43,53.86,13.5,209,278,322.7,63.75,0,0,3,1,-21.26,-15.1,-7.45,5.98,38.81,40,40.89,1.15,1226.7,1447,1555.46,167.57,167.4,300,405.35,124.75,60,62,65,1.75,64,66.5,70.45,2.25,27.09,29.28,30.15,1.35
"Bullae","Bulbothrix_laevigatula",0,17.3,19.82,21.49,1.42,25.94,27.58,28,0.37,6.73,11.2,13.96,2.45,10.46,16.25,19.59,2.35,1157.4,1312.33,1644.5,178.75,503.5,717.5,841.8,179.5,17.63,22.72,25.09,2.55,31.91,38.42,52.85,9.07,227.05,293,321.75,32.25,0,0,1.95,0,-19.1,-13.07,-7.87,4.36,37.12,39.6,40.89,1.13,1212.48,1445,1559.32,193.17,72.7,260.62,408.37,151.12,59.05,62,72,8,64.05,67,75.95,8,27.13,29.54,31.2,1.29
"Canama","Canoparmelia_amazonica",0,18.95,20.57,23.15,2.16,23.49,27.6,27.96,0.4,9.59,12.55,18.29,4.9,5.15,14.82,17.62,4.38,1215,1324.5,1617.3,196.83,663.25,788.29,982.1,106.75,18.02,23.2,25.7,3.99,22.39,35,41.54,4.12,261.25,304,349.65,38.42,0,0,1,0,-16.18,-11,3.73,7.25,38.11,39.4,40.53,1.12,1287.35,1522.25,1761.1,123.12,98.05,287.25,948.88,186.56,59.12,63.47,70.65,4.12,64.78,68,75,4.12,23.83,29.58,31.11,1.12
"Canamb","Canoparmelia_amabilis",0,13.02,17.3,19.65,3.31,21.57,26.9,27.67,1.65,2.05,7.3,13.12,5.05,6.55,19.55,21.85,3.11,1035.75,1266,1578.5,190.88,481.5,564,761,114.75,15.23,22.8,26.1,4.67,30.15,48.55,55.45,9.67,185.25,228.5,291,63.5,0,1,15.5,2.88,-24.1,-18.85,-14.15,5.75,35.95,40.35,41.8,0.73,1126.75,1361,1737.5,169.75,89.5,345.5,795,117,59,60.75,63.5,1.75,61.25,64,66.75,1.25,21.39,28.24,29.52,2.87
"Cancar","Canoparmelia_caroliniana",0.04,13.4,18.6,22.12,3.19,21.38,27.31,28.2,1.82,1.52,9.13,16.14,4.69,5.03,18.48,23.71,3.34,1125.55,1335.5,1653.17,294.88,490.62,587.03,943.55,209,16.62,20.75,25.24,4.2,23.37,45.23,55.22,13.93,180,260.75,330.9,70.38,0,1,12,2,-25.85,-16.1,-5.68,6.74,37.11,40.18,41.6,1.55,1106.77,1389.5,1597.5,181.92,82.55,284.53,550.75,151.58,58,62,70,4,58.96,66,75,4,21.08,29.03,31.01,3.13
"Cancro","Crespoa_crozalsiana",0.01,12.14,14.5,19.86,2.3,21.06,25.5,26.5,3.9,1.18,3.55,15.88,4.2,5.6,21.9,24.38,5.5,511.4,1159,1566.2,94,343.4,523,880.2,81,16.44,21.1,55.9,7.6,23.58,50,65.98,4.7,172,200,333.2,31,0,6,19.8,8,-26.3,-23.5,-4.94,5.1,35.32,39.7,41.52,3.8,1100.2,1220,1806.2,151,152.8,261,1114.4,305,50.6,60,64,6,51,61,66.4,6,20.65,25.62,27.7,5.12
"Cancry","Canoparmelia_cryptochloro",0,17.27,19.52,22.61,1.3,26.7,27.56,28.28,0.4,6.99,10.37,16.19,2.28,11.19,17.17,19.94,2.5,1148.17,1326.62,1628.25,239.93,509.85,667,859.2,182.46,17.73,22.65,25.2,4.49,32.09,40.89,53.05,11.38,227.35,281.41,330,32.25,0,0,1.55,1,-18.97,-14.4,-6.13,4.26,38.45,40.05,41.2,1.32,1273.25,1454.75,1591.96,131.21,81.45,291.33,426.15,131.75,59,62,71,4,63,67,75,3.81,27.97,29.59,31.08,1.16
"Cansal","Canoparmelia_salacinifera",0,18.07,20.5,23.47,2.3,22.61,27.6,28.23,0.47,9.67,12.8,18.46,4.35,5.65,15,18.47,4.16,1065.7,1310.5,1641.8,244.5,511.2,785,945.8,60,18.05,23.25,28.65,4.41,25.86,35.1,45.57,2.6,263.8,313,351.2,35.5,0,0,1,0,-15.98,-9.7,0.43,6.7,37.47,39.3,41.69,1.08,1264.9,1511,1771.1,147.5,96.3,286,985.6,143.5,57,64,71,6,61.8,68.5,76,6,22.63,29.98,31.61,1.36
"Cantex","Canoparmelia_texana",0.01,11,16.1,21.12,4.5,19.1,25.9,27.7,2.25,-1,6,16.4,8.3,4.4,20.1,25.8,6.4,552,1180,1561,192.5,393,536,855,100,17.5,21.5,46.6,3.97,22.2,47.83,58.4,8.7,171,216,342,89,0,2,36,9,-27.75,-20.4,-1.1,9.84,35.2,40.4,41.9,1.7,936,1300,1797,270,133,297,1106,171,53,60.25,64.5,3,57,64,69,4.75,18.53,26.89,29.87,3.6
"Cavhul","Hypogymnia_hultenii",0.05,1.83,6.42,10.86,3.06,11.72,14.5,17.43,2.2,-7.43,-0.5,5.81,5.68,9.38,14.72,21.24,4.43,898.25,2067,4047.75,1515.39,211.69,542.29,1476.25,379.94,3.45,7.75,17.69,5.35,8.31,27.8,83.22,21.4,101.75,155.33,248.79,55.83,27,302,1238.25,385.5,-36.62,-23.6,-11.66,10.79,28.06,30.95,36.7,3.73,336.5,464.62,787,262.12,0,13.58,322.83,133.62,65,74.12,80.08,7,53,74,80,11.33,10.72,13.95,16.76,2.31
"Cavlop","Hypogymnia_lophyrea",0.02,2.8,7.4,11.53,4.45,11.95,14.3,16.85,1.97,-4.65,1.8,7.35,6.42,8.45,12.5,16.65,4.07,1183.17,2242,3872.5,1307.67,171.5,565,1473.5,480.5,3.85,7.8,15.85,4.55,8.5,25.4,100.8,30.67,112.17,184,258.67,82,17,209.5,928.67,355,-32.65,-17.7,-10.52,12.85,28.15,31.6,35.65,3.55,345,476,849.5,253,0,12,367.75,148.25,66,76,80,6.33,61,74.25,79.5,6.25,11.09,13.85,16.29,2.17
"Celcet","Cetrelia_cetrarioides",0.01,3.38,7.3,11.2,4.7,13.13,17.2,21.99,3.95,-12.76,-1.1,5.64,9.31,9.93,16.7,30.91,11.88,771.8,1340,3545.55,1257,208.07,498.33,1076.85,231.67,4.73,12.4,22.56,9.25,13.2,37.97,86.33,16.85,111.6,158,243.1,51,18.3,182.33,738.2,289.42,-38.81,-25.95,-12.4,14.3,29.8,34.9,38.57,3.48,417.9,680.4,948.2,209.83,0,99,398.7,146.5,57.3,65.5,79,10.83,48.6,63.5,77.7,10.55,12.36,16.67,21.84,3.96
"Celchi","Cetrelia_chicitae",0,1.82,5.7,11.38,4.4,15.69,18.9,22.55,2.45,-15.07,-8.88,1.59,8.5,18.89,28.3,32.74,5.97,746.08,1131,1516.92,463.5,401.75,485.5,655.5,87.05,11.1,15.1,19.98,4.66,28.6,39.02,44.66,5.05,104.75,128.5,170.75,29.31,24.78,177.62,380.65,181.62,-41.94,-35.55,-25.9,7.85,33.19,35.4,38.2,2.35,552.25,675.6,1051.99,210.69,9.2,95.5,167.12,69.75,56,61.3,68.38,5.95,52.7,61,69.75,6.62,15.22,18.47,22.41,2.72
"Celoli","Cetrelia_olivetorum",0.01,2.51,5.37,11.65,3.54,16.71,19,22.08,1.85,-14.97,-9.09,2,5.83,19.31,28.18,32.91,4.7,717.75,1041.5,1437.5,394.8,376.25,479.06,660,98.2,11.2,15.75,21.6,4.85,28.47,39.99,51.56,6.24,108.81,127.72,172.9,20.88,21.35,199,407,165.92,-41.58,-35.6,-25.28,5.8,33.51,35.9,37.92,1.84,568.39,676.17,1082.65,117.62,12.98,110,202.75,68.25,56.45,61,67.38,5,54.06,62,69,6,16.08,18.57,21.92,2
"Cetaur","Nephromopsis_aurescens",0.01,3.25,4.25,10.07,2.22,16.89,18.95,22.11,0.98,-14.94,-11.02,-2.52,6.21,24.54,27.99,34.14,5.86,703.85,808.75,1238,252,397,479.25,607.98,78.79,14.36,18.04,22.79,2.16,32.29,40.47,48.76,2.37,112.9,123,161.85,15.12,91.2,152.25,256.1,57.12,-42.02,-37.76,-28.51,7.45,34.34,36.65,38.3,1.81,570.82,661.75,904.95,82.88,68.65,126,222.65,46.12,55.95,58.75,65.05,4.5,57.85,62.5,69.05,6.5,16.35,18.49,22.01,1.02
"Cetcal","Nephromopsis_tuckermanii",0,-1.48,10.35,16.4,5.16,9.8,15.4,23.6,4.65,-12.2,5,10.38,9.22,5.9,14.8,23.05,9.5,330,1154.25,2525.88,948.5,25.25,191,572.25,294.49,6.8,14.75,56.43,14.6,22.5,80.9,700.25,200.52,57,212.75,332.5,135.35,1,29,505.5,195.12,-44.32,-16,-7,18.62,26.33,33.75,43.72,7.22,318.25,728,1285.25,468.62,0.25,307.5,920.5,535.5,54,67.5,77.5,14.67,33.75,64.2,78.75,23.33,8.3,14.79,23.48,4.62
"Cetchl","Nephromopsis_chlorophylla",0.15,0.76,6.33,12.98,5.1,12.62,16.2,21.86,3.65,-11.92,-3.05,8.04,8.29,8.33,20.4,27.25,6.53,407.5,858,2619.75,939.88,62.1,268,668.9,150.53,6.28,18.35,43.1,13.25,20.26,61.5,314.58,50.25,65.65,125.33,281.67,75,7.4,185,585.3,274.9,-42.77,-29.47,-9.68,17,29.1,35.3,40.97,4.73,360.5,674.67,1084.32,244.25,0,269,703.5,250.75,52,62,77.7,11.71,30,51,76,27,11.53,15.1,21.35,3.97
